NetBenchWithContentionMpiSsend_O3_native_2b
Warning: Permanently added '[hpcvirtualizationnode14]:2222,[10.0.1.62]:2222' (ECDSA) to the list of known hosts.
Kind (np=2)	n	time (sec)	Rate (MB/sec)
Send/Recv	2^11	0.000233	70.449109
Send/Recv	2^12	0.000362	90.578886
Send/Recv	2^13	0.000757	86.569368
Send/Recv	2^14	0.001330	98.575761
Send/Recv	2^15	0.002526	103.765388
Send/Recv	2^16	0.004838	108.358120
Send/Recv	2^17	0.009487	110.527559
Send/Recv	2^18	0.018778	111.681142
Send/Recv	2^19	0.037410	112.116074
Send/Recv	2^20	0.074830	112.101753
Send/Recv	2^21	0.148997	112.601048
Send/Recv	2^22	0.297920	112.629146
Warning: Permanently added '[hpcvirtualizationnode14]:2222,[10.0.1.62]:2222' (ECDSA) to the list of known hosts.
Kind (np=2)	n	time (sec)	Rate (MB/sec)
Send/Recv	2^0	0.000095	0.084205
Send/Recv	2^1	0.000095	0.167571
Send/Recv	2^2	0.000096	0.333091
Send/Recv	2^3	0.000095	0.672308
Send/Recv	2^4	0.000095	1.347245
Send/Recv	2^5	0.000099	2.588293
Send/Recv	2^6	0.000096	5.331784
Send/Recv	2^7	0.000095	10.733946
Send/Recv	2^8	0.000098	20.864320
Send/Recv	2^9	0.000100	40.980488
Send/Recv	2^10	0.000153	53.418191
Send/Recv	2^11	0.000232	70.675227
Send/Recv	2^12	0.000361	90.845326
Send/Recv	2^13	0.000757	86.575772
Send/Recv	2^14	0.001331	98.459136
Send/Recv	2^15	0.002526	103.769699
Send/Recv	2^16	0.004848	108.139883
Send/Recv	2^17	0.009491	110.486023
Send/Recv	2^18	0.018773	111.709078
Send/Recv	2^19	0.037389	112.181254
Send/Recv	2^20	0.074580	112.478636
Send/Recv	2^21	0.148971	112.620733
Send/Recv	2^22	0.297762	112.688796
Warning: Permanently added '[hpcvirtualizationnode14]:2222,[10.0.1.62]:2222' (ECDSA) to the list of known hosts.
Kind (np=2)	n	time (sec)	Rate (MB/sec)
Send/Recv	2^0	0.000093	0.085862
Send/Recv	2^1	0.000095	0.167871
Send/Recv	2^2	0.000097	0.330507
Send/Recv	2^3	0.000095	0.673753
Send/Recv	2^4	0.000097	1.321250
Send/Recv	2^5	0.000099	2.592918
Send/Recv	2^6	0.000096	5.315162
Send/Recv	2^7	0.000095	10.732997
Send/Recv	2^8	0.000098	20.882544
Send/Recv	2^9	0.000098	41.898727
Send/Recv	2^10	0.000153	53.416265
Send/Recv	2^11	0.000234	70.015899
Send/Recv	2^12	0.000386	84.880958
Send/Recv	2^13	0.000761	86.136209
Send/Recv	2^14	0.001335	98.149663
Send/Recv	2^15	0.002526	103.760437
Send/Recv	2^16	0.004848	108.139671
Send/Recv	2^17	0.009486	110.541891
Send/Recv	2^18	0.018775	111.698449
Send/Recv	2^19	0.037399	112.151445
Send/Recv	2^20	0.074577	112.483171
Send/Recv	2^21	0.148970	112.621448
Send/Recv	2^22	0.297753	112.692229
Warning: Permanently added '[hpcvirtualizationnode14]:2222,[10.0.1.62]:2222' (ECDSA) to the list of known hosts.
Kind (np=2)	n	time (sec)	Rate (MB/sec)
Send/Recv	2^0	0.000094	0.085495
Send/Recv	2^1	0.000080	0.199785
Send/Recv	2^2	0.000095	0.336587
Send/Recv	2^3	0.000095	0.674335
Send/Recv	2^4	0.000092	1.397694
Send/Recv	2^5	0.000097	2.632526
Send/Recv	2^6	0.000097	5.279348
Send/Recv	2^7	0.000097	10.566131
Send/Recv	2^8	0.000098	20.884143
Send/Recv	2^9	0.000100	41.080563
Send/Recv	2^10	0.000153	53.629236
Send/Recv	2^11	0.000232	70.769405
Send/Recv	2^12	0.000366	89.599081
Send/Recv	2^13	0.000758	86.483462
Send/Recv	2^14	0.001330	98.560306
Send/Recv	2^15	0.002526	103.772881
Send/Recv	2^16	0.004844	108.229713
Send/Recv	2^17	0.009487	110.527017
Send/Recv	2^18	0.018771	111.725825
Send/Recv	2^19	0.037390	112.177239
Send/Recv	2^20	0.074580	112.478047
Send/Recv	2^21	0.148972	112.619923
Send/Recv	2^22	0.297783	112.680812
Warning: Permanently added '[hpcvirtualizationnode14]:2222,[10.0.1.62]:2222' (ECDSA) to the list of known hosts.
Kind (np=2)	n	time (sec)	Rate (MB/sec)
Send/Recv	2^0	0.000095	0.084529
Send/Recv	2^1	0.000096	0.165817
Send/Recv	2^2	0.000095	0.336311
Send/Recv	2^3	0.000095	0.672327
Send/Recv	2^4	0.000093	1.375715
Send/Recv	2^5	0.000099	2.592245
Send/Recv	2^6	0.000097	5.300567
Send/Recv	2^7	0.000096	10.645274
Send/Recv	2^8	0.000098	20.875911
Send/Recv	2^9	0.000100	41.100166
Send/Recv	2^10	0.000153	53.435978
Send/Recv	2^11	0.000233	70.369536
Send/Recv	2^12	0.000363	90.254813
Send/Recv	2^13	0.000758	86.495560
Send/Recv	2^14	0.001336	98.107050
Send/Recv	2^15	0.002525	103.832235
Send/Recv	2^16	0.004848	108.144913
Send/Recv	2^17	0.009489	110.503279
Send/Recv	2^18	0.018780	111.670152
Send/Recv	2^19	0.037381	112.204554
Send/Recv	2^20	0.074578	112.481547
Send/Recv	2^21	0.148982	112.612142
Send/Recv	2^22	0.297755	112.691256
NetBenchWithContentionMpiSsend_O3_native_4b
Warning: Permanently added '[hpcvirtualizationnode02]:2222,[10.0.1.38]:2222' (ECDSA) to the list of known hosts.
Kind (np=4)	n	time (sec)	Rate (MB/sec)
Send/Recv	2^0	0.000087	0.091897
Send/Recv	2^1	0.000080	0.199357
Send/Recv	2^2	0.000095	0.335132
Send/Recv	2^3	0.000097	0.659818
Send/Recv	2^4	0.000092	1.385723
Send/Recv	2^5	0.000104	2.469452
Send/Recv	2^6	0.000081	6.296987
Send/Recv	2^7	0.000105	9.795213
Send/Recv	2^8	0.000106	19.290273
Send/Recv	2^9	0.000112	36.734283
Send/Recv	2^10	0.000158	51.715220
Send/Recv	2^11	0.000237	69.228363
Send/Recv	2^12	0.000441	74.242661
Send/Recv	2^13	0.001271	51.570968
Send/Recv	2^14	0.001866	70.258250
Send/Recv	2^15	0.004350	60.263182
Send/Recv	2^16	0.009387	55.854439
Send/Recv	2^17	0.018709	56.047683
Send/Recv	2^18	0.036190	57.948604
Send/Recv	2^19	0.074557	56.256017
Send/Recv	2^20	0.148665	56.426207
Send/Recv	2^21	0.297078	56.474092
Send/Recv	2^22	0.594799	56.413070
Warning: Permanently added '[hpcvirtualizationnode02]:2222,[10.0.1.38]:2222' (ECDSA) to the list of known hosts.
Kind (np=4)	n	time (sec)	Rate (MB/sec)
Send/Recv	2^0	0.000086	0.092936
Send/Recv	2^1	0.000089	0.180453
Send/Recv	2^2	0.000087	0.368389
Send/Recv	2^3	0.000105	0.611806
Send/Recv	2^4	0.000095	1.354415
Send/Recv	2^5	0.000086	2.993757
Send/Recv	2^6	0.000081	6.306744
Send/Recv	2^7	0.000103	9.906197
Send/Recv	2^8	0.000106	19.380115
Send/Recv	2^9	0.000115	35.735158
Send/Recv	2^10	0.000158	51.720769
Send/Recv	2^11	0.000236	69.348199
Send/Recv	2^12	0.000439	74.618916
Send/Recv	2^13	0.001272	51.508407
Send/Recv	2^14	0.002458	53.321747
Send/Recv	2^15	0.004576	57.280880
Send/Recv	2^16	0.009297	56.391204
Send/Recv	2^17	0.018736	55.965841
Send/Recv	2^18	0.036951	56.754556
Send/Recv	2^19	0.074020	56.664350
Send/Recv	2^20	0.148435	56.513719
Send/Recv	2^21	0.297089	56.471986
Send/Recv	2^22	0.595011	56.392962
Warning: Permanently added '[hpcvirtualizationnode02]:2222,[10.0.1.38]:2222' (ECDSA) to the list of known hosts.
Kind (np=4)	n	time (sec)	Rate (MB/sec)
Send/Recv	2^0	0.000085	0.094398
Send/Recv	2^1	0.000081	0.196663
Send/Recv	2^2	0.000091	0.353276
Send/Recv	2^3	0.000087	0.735652
Send/Recv	2^4	0.000084	1.523997
Send/Recv	2^5	0.000105	2.443911
Send/Recv	2^6	0.000081	6.307482
Send/Recv	2^7	0.000105	9.782133
Send/Recv	2^8	0.000105	19.512163
Send/Recv	2^9	0.000113	36.237525
Send/Recv	2^10	0.000160	51.106574
Send/Recv	2^11	0.000239	68.686374
Send/Recv	2^12	0.000469	69.890753
Send/Recv	2^13	0.001291	50.772675
Send/Recv	2^14	0.002463	53.207253
Send/Recv	2^15	0.004387	59.749711
Send/Recv	2^16	0.008925	58.744284
Send/Recv	2^17	0.018115	57.884685
Send/Recv	2^18	0.036606	57.289250
Send/Recv	2^19	0.073949	56.719237
Send/Recv	2^20	0.148673	56.423065
Send/Recv	2^21	0.296721	56.542031
Send/Recv	2^22	0.594811	56.411935
Warning: Permanently added '[hpcvirtualizationnode02]:2222,[10.0.1.38]:2222' (ECDSA) to the list of known hosts.
Kind (np=4)	n	time (sec)	Rate (MB/sec)
Send/Recv	2^0	0.000080	0.100590
Send/Recv	2^1	0.000079	0.201317
Send/Recv	2^2	0.000080	0.402249
Send/Recv	2^3	0.000079	0.805289
Send/Recv	2^4	0.000080	1.602987
Send/Recv	2^5	0.000080	3.198453
Send/Recv	2^6	0.000108	4.737195
Send/Recv	2^7	0.000108	9.476899
Send/Recv	2^8	0.000107	19.200842
Send/Recv	2^9	0.000128	31.897567
Send/Recv	2^10	0.000176	46.548241
Send/Recv	2^11	0.000259	63.227683
Send/Recv	2^12	0.000490	66.833233
Send/Recv	2^13	0.001024	63.993125
Send/Recv	2^14	0.002394	54.747522
Send/Recv	2^15	0.004660	56.251162
Send/Recv	2^16	0.009341	56.127823
Send/Recv	2^17	0.018563	56.487456
Send/Recv	2^18	0.036268	57.823725
Send/Recv	2^19	0.074428	56.354009
Send/Recv	2^20	0.148834	56.362320
Send/Recv	2^21	0.297229	56.445443
