nohup: can't execute './tests1.sh': Exec format error
NetBenchWithContention_O3_native_2b
Warning: Permanently added '[hpcvirtualizationnode14]:2222,[10.0.1.62]:2222' (ECDSA) to the list of known hosts.
Kind (np=2)	n	time (sec)	Rate (MB/sec)
Kind (np=8)	n	time (sec)	Rate (MB/sec)
Send/Recv	2^0	0.000079	0.101567
Send/Recv	2^1	0.000079	0.202401
Send/Recv	2^2	0.000080	0.401810
Send/Recv	2^3	0.000080	0.803529
Send/Recv	2^4	0.000080	1.607056
Send/Recv	2^5	0.000079	3.222203
Send/Recv	2^6	0.000079	6.471796
Send/Recv	2^7	0.000083	12.410187
Send/Recv	2^8	0.000121	16.947073
Send/Recv	2^9	0.000158	25.954939
Send/Recv	2^10	0.000210	38.922499
Send/Recv	2^11	0.000317	51.675742
Send/Recv	2^12	0.000862	37.999242
Send/Recv	2^13	0.001651	39.686859
Send/Recv	2^14	0.004182	31.342451
Send/Recv	2^15	0.008580	30.554392
Send/Recv	2^16	0.017520	29.924772
Send/Recv	2^17	0.037070	28.286545
Send/Recv	2^18	0.073975	28.349333
Send/Recv	2^19	0.145860	28.755606
Send/Recv	2^20	0.297196	28.225863
Send/Recv	2^21	0.594943	28.199717
Send/Recv	2^22	1.190311	28.189646
Warning: Permanently added '[hpcvirtualizationnode02]:2222,[10.0.1.38]:2222' (ECDSA) to the list of known hosts.
Kind (np=8)	n	time (sec)	Rate (MB/sec)
Send/Recv	2^0	0.000074	0.108565
Send/Recv	2^1	0.000080	0.201070
Send/Recv	2^2	0.000080	0.402232
Send/Recv	2^3	0.000080	0.803648
Send/Recv	2^4	0.000080	1.607429
Send/Recv	2^5	0.000079	3.223380
Send/Recv	2^6	0.000079	6.460815
Send/Recv	2^7	0.000084	12.193493
Send/Recv	2^8	0.000114	17.912406
Send/Recv	2^9	0.000156	26.255828
Send/Recv	2^10	0.000210	38.968237
Send/Recv	2^11	0.000315	52.002789
Send/Recv	2^12	0.000554	59.146682
Send/Recv	2^13	0.002233	29.352217
Send/Recv	2^14	0.004255	30.805425
Send/Recv	2^15	0.008604	30.468042
Send/Recv	2^16	0.017912	29.270140
Send/Recv	2^17	0.035588	29.464649
Send/Recv	2^18	0.074153	28.281305
Send/Recv	2^19	0.148370	28.269245
Send/Recv	2^20	0.297121	28.232929
Send/Recv	2^21	0.595054	28.194434
Send/Recv	2^22	1.189778	28.202264
Warning: Permanently added '[hpcvirtualizationnode02]:2222,[10.0.1.38]:2222' (ECDSA) to the list of known hosts.
Kind (np=8)	n	time (sec)	Rate (MB/sec)
Send/Recv	2^0	0.000069	0.115584
Send/Recv	2^1	0.000079	0.202646
Send/Recv	2^2	0.000080	0.401886
Send/Recv	2^3	0.000079	0.805661
Send/Recv	2^4	0.000080	1.607332
Send/Recv	2^5	0.000079	3.221978
Send/Recv	2^6	0.000079	6.469534
Send/Recv	2^7	0.000085	11.999976
Send/Recv	2^8	0.000113	18.114997
Send/Recv	2^9	0.000164	24.997795
Send/Recv	2^10	0.000204	40.189663
Send/Recv	2^11	0.000367	44.695722
Send/Recv	2^12	0.000757	43.276968
Send/Recv	2^13	0.002184	30.004647
Send/Recv	2^14	0.004333	30.248538
Send/Recv	2^15	0.008071	32.478927
Send/Recv	2^16	0.018166	28.861414
Send/Recv	2^17	0.036895	28.420236
Send/Recv	2^18	0.074019	28.332501
Send/Recv	2^19	0.147669	28.403484
Send/Recv	2^20	0.297398	28.206684
Send/Recv	2^21	0.595219	28.186636
Send/Recv	2^22	1.189666	28.204907
Warning: Permanently added '[hpcvirtualizationnode02]:2222,[10.0.1.38]:2222' (ECDSA) to the list of known hosts.
Kind (np=8)	n	time (sec)	Rate (MB/sec)
Send/Recv	2^0	0.000079	0.101412
Send/Recv	2^1	0.000080	0.200825
Send/Recv	2^2	0.000080	0.401935
Send/Recv	2^3	0.000080	0.803381
Send/Recv	2^4	0.000080	1.607602
Send/Recv	2^5	0.000079	3.222065
Send/Recv	2^6	0.000079	6.472364
Send/Recv	2^7	0.000087	11.755300
Send/Recv	2^8	0.000124	16.493893
Send/Recv	2^9	0.000186	21.973773
Send/Recv	2^10	0.000231	35.514327
Send/Recv	2^11	0.000343	47.752494
Send/Recv	2^12	0.000811	40.420836
Send/Recv	2^13	0.001975	33.177804
Send/Recv	2^14	0.003707	35.362360
Send/Recv	2^15	0.008141	32.198790
Send/Recv	2^16	0.017411	30.113195
Send/Recv	2^17	0.036258	28.919740
Send/Recv	2^18	0.074114	28.296439
Send/Recv	2^19	0.148554	28.234275
Send/Recv	2^20	0.296671	28.275812
Send/Recv	2^21	0.594903	28.201596
Send/Recv	2^22	1.190137	28.193751
Warning: Permanently added '[hpcvirtualizationnode02]:2222,[10.0.1.38]:2222' (ECDSA) to the list of known hosts.
Kind (np=8)	n	time (sec)	Rate (MB/sec)
Send/Recv	2^0	0.000067	0.119600
Send/Recv	2^1	0.000080	0.200766
Send/Recv	2^2	0.000080	0.402209
Send/Recv	2^3	0.000080	0.803442
Send/Recv	2^4	0.000080	1.607223
Send/Recv	2^5	0.000079	3.221734
Send/Recv	2^6	0.000079	6.450673
Send/Recv	2^7	0.000088	11.678527
Send/Recv	2^8	0.000121	16.878844
Send/Recv	2^9	0.000163	25.118821
Send/Recv	2^10	0.000210	39.030247
Send/Recv	2^11	0.000549	29.860322
Send/Recv	2^12	0.000777	42.168198
Send/Recv	2^13	0.002056	31.880775
Send/Recv	2^14	0.004199	31.211822
Send/Recv	2^15	0.008300	31.584876
Send/Recv	2^16	0.017593	29.800979
Send/Recv	2^17	0.037054	28.298515
Send/Recv	2^18	0.074114	28.296120
Send/Recv	2^19	0.148356	28.271831
Send/Recv	2^20	0.297317	28.214382
Send/Recv	2^21	0.594703	28.211060
Send/Recv	2^22	1.190144	28.193584
Warning: Permanently added '[hpcvirtualizationnode02]:2222,[10.0.1.38]:2222' (ECDSA) to the list of known hosts.
Kind (np=8)	n	time (sec)	Rate (MB/sec)
Send/Recv	2^0	0.000070	0.114026
Send/Recv	2^1	0.000075	0.213144
Send/Recv	2^2	0.000080	0.401512
Send/Recv	2^3	0.000080	0.803338
Send/Recv	2^4	0.000080	1.609006
Send/Recv	2^5	0.000080	3.219000
Send/Recv	2^6	0.000080	6.432896
Send/Recv	2^7	0.000082	12.478609
Send/Recv	2^8	0.000116	17.636194
Send/Recv	2^9	0.000164	24.978044
Send/Recv	2^10	0.000211	38.813888
Send/Recv	2^11	0.000496	33.005939
Send/Recv	2^12	0.000731	44.836906
Send/Recv	2^13	0.002283	28.700061
Send/Recv	2^14	0.004307	30.434129
Send/Recv	2^15	0.008555	30.643551
Send/Recv	2^16	0.017231	30.426801
Send/Recv	2^17	0.036880	28.431859
Send/Recv	2^18	0.074026	28.330011
Send/Recv	2^19	0.148588	28.227758
Send/Recv	2^20	0.297021	28.242517
Send/Recv	2^21	0.595113	28.191657
Send/Recv	2^22	1.190321	28.189392
Warning: Permanently added '[hpcvirtualizationnode02]:2222,[10.0.1.38]:2222' (ECDSA) to the list of known hosts.
Kind (np=8)	n	time (sec)	Rate (MB/sec)
Send/Recv	2^0	0.000077	0.104093
Send/Recv	2^1	0.000078	0.205610
Send/Recv	2^2	0.000079	0.404954
Send/Recv	2^3	0.000079	0.806486
Send/Recv	2^4	0.000080	1.607535
Send/Recv	2^5	0.000080	3.219685
Send/Recv	2^6	0.000079	6.461712
Send/Recv	2^7	0.000087	11.780115
Send/Recv	2^8	0.000124	16.493471
Send/Recv	2^9	0.000161	25.459891
Send/Recv	2^10	0.000160	51.243568
Send/Recv	2^11	0.000393	41.662328
Send/Recv	2^12	0.000784	41.783871
Send/Recv	2^13	0.002260	28.998442
Send/Recv	2^14	0.004394	29.830145
Send/Recv	2^15	0.008237	31.823435
Send/Recv	2^16	0.018220	28.775472
Send/Recv	2^17	0.035972	29.149435
Send/Recv	2^18	0.074053	28.319475
Send/Recv	2^19	0.148514	28.241732
Send/Recv	2^20	0.296716	28.271461
Send/Recv	2^21	0.594985	28.197700
Send/Recv	2^22	1.190270	28.190595
NetBenchWithContention_O3_native_16
Warning: Permanently added '[hpcvirtualizationnode02]:2222,[10.0.1.38]:2222' (ECDSA) to the list of known hosts.
Warning: Permanently added '[hpcvirtualizationnode03]:2222,[10.0.1.40]:2222' (ECDSA) to the list of known hosts.
Warning: Permanently added '[hpcvirtualizationnode04]:2222,[10.0.1.42]:2222' (ECDSA) to the list of known hosts.
Kind (np=16)	n	time (sec)	Rate (MB/sec)
Send/Recv	2^0	0.000078	0.102910
Send/Recv	2^1	0.000079	0.203327
Send/Recv	2^2	0.000080	0.401955
Send/Recv	2^3	0.000080	0.803831
Send/Recv	2^4	0.000080	1.609884
Send/Recv	2^5	0.000079	3.220806
Send/Recv	2^6	0.000079	6.474006
Send/Recv	2^7	0.000085	11.991124
Send/Recv	2^8	0.000149	13.700724
Send/Recv	2^9	0.000169	24.165912
Send/Recv	2^10	0.000256	32.014817
Send/Recv	2^11	0.000389	42.139483
Send/Recv	2^12	0.000730	44.892036
Send/Recv	2^13	0.002421	27.069174
Send/Recv	2^14	0.004196	31.235768
Send/Recv	2^15	0.008370	31.318846
Send/Recv	2^16	0.017468	30.014432
Send/Recv	2^17	0.036683	28.584746
Send/Recv	2^18	0.073825	28.406982
Send/Recv	2^19	0.148329	28.277035
Send/Recv	2^20	0.297419	28.204670
Send/Recv	2^21	0.594988	28.197589
Send/Recv	2^22	1.190335	28.189069
Warning: Permanently added '[hpcvirtualizationnode02]:2222,[10.0.1.38]:2222' (ECDSA) to the list of known hosts.
Warning: Permanently added '[hpcvirtualizationnode03]:2222,[10.0.1.40]:2222' (ECDSA) to the list of known hosts.
Warning: Permanently added '[hpcvirtualizationnode04]:2222,[10.0.1.42]:2222' (ECDSA) to the list of known hosts.
Kind (np=16)	n	time (sec)	Rate (MB/sec)
Send/Recv	2^0	0.000071	0.112190
Send/Recv	2^1	0.000079	0.202616
Send/Recv	2^2	0.000080	0.402294
Send/Recv	2^3	0.000079	0.805314
Send/Recv	2^4	0.000080	1.608809
Send/Recv	2^5	0.000079	3.223654
Send/Recv	2^6	0.000079	6.467379
Send/Recv	2^7	0.000082	12.417787
Send/Recv	2^8	0.000114	17.950191
Send/Recv	2^9	0.000159	25.750808
Send/Recv	2^10	0.000255	32.179374
Send/Recv	2^11	0.000418	39.186374
Send/Recv	2^12	0.000906	36.187122
Send/Recv	2^13	0.002255	29.056098
Send/Recv	2^14	0.004252	30.823329
Send/Recv	2^15	0.008317	31.520219
Send/Recv	2^16	0.017481	29.992350
Send/Recv	2^17	0.036636	28.621597
Send/Recv	2^18	0.074093	28.304435
Send/Recv	2^19	0.148583	28.228625
Send/Recv	2^20	0.297480	28.198867
Send/Recv	2^21	0.595026	28.195753
Send/Recv	2^22	1.190389	28.187782
Warning: Permanently added '[hpcvirtualizationnode03]:2222,[10.0.1.40]:2222' (ECDSA) to the list of known hosts.
Warning: Permanently added '[hpcvirtualizationnode02]:2222,[10.0.1.38]:2222' (ECDSA) to the list of known hosts.
Warning: Permanently added '[hpcvirtualizationnode04]:2222,[10.0.1.42]:2222' (ECDSA) to the list of known hosts.
Kind (np=16)	n	time (sec)	Rate (MB/sec)
Send/Recv	2^0	0.000065	0.122881
Send/Recv	2^1	0.000067	0.239107
Send/Recv	2^2	0.000080	0.402359
Send/Recv	2^3	0.000080	0.804245
Send/Recv	2^4	0.000080	1.609083
Send/Recv	2^5	0.000079	3.220156
Send/Recv	2^6	0.000079	6.473766
Send/Recv	2^7	0.000082	12.426075
Send/Recv	2^8	0.000121	16.963894
Send/Recv	2^9	0.000158	25.867410
Send/Recv	2^10	0.000235	34.910976
Send/Recv	2^11	0.000386	42.399353
Send/Recv	2^12	0.000856	38.260349
Send/Recv	2^13	0.002178	30.096265
Send/Recv	2^14	0.004205	31.172583
Send/Recv	2^15	0.008262	31.728814
Send/Recv	2^16	0.018308	28.637073
Send/Recv	2^17	0.036688	28.580898
Send/Recv	2^18	0.074148	28.283446
Send/Recv	2^19	0.148529	28.238884
Send/Recv	2^20	0.297340	28.212213
Send/Recv	2^21	0.595016	28.196266
Send/Recv	2^22	1.190241	28.191288
Warning: Permanently added '[hpcvirtualizationnode02]:2222,[10.0.1.38]:2222' (ECDSA) to the list of known hosts.
Warning: Permanently added '[hpcvirtualizationnode03]:2222,[10.0.1.40]:2222' (ECDSA) to the list of known hosts.
Warning: Permanently added '[hpcvirtualizationnode04]:2222,[10.0.1.42]:2222' (ECDSA) to the list of known hosts.
Kind (np=16)	n	time (sec)	Rate (MB/sec)
Send/Recv	2^0	0.000062	0.128068
Send/Recv	2^1	0.000062	0.256000
Send/Recv	2^2	0.000080	0.401962
Send/Recv	2^3	0.000080	0.803905
Send/Recv	2^4	0.000080	1.609823
Send/Recv	2^5	0.000080	3.219247
Send/Recv	2^6	0.000079	6.464434
Send/Recv	2^7	0.000087	11.820132
Send/Recv	2^8	0.000121	16.877683
Send/Recv	2^9	0.000157	26.007997
Send/Recv	2^10	0.000257	31.864945
Send/Recv	2^11	0.000518	31.629376
Send/Recv	2^12	0.000759	43.147608
Send/Recv	2^13	0.002260	29.000225
Send/Recv	2^14	0.004176	31.383986
Send/Recv	2^15	0.008677	30.212296
Send/Recv	2^16	0.017731	29.568258
Send/Recv	2^17	0.036436	28.778889
Send/Recv	2^18	0.073985	28.345776
Send/Recv	2^19	0.148120	28.316848
Send/Recv	2^20	0.297130	28.232120
Send/Recv	2^21	0.594995	28.197237
Send/Recv	2^22	1.190214	28.191938
Warning: Permanently added '[hpcvirtualizationnode02]:2222,[10.0.1.38]:2222' (ECDSA) to the list of known hosts.
Warning: Permanently added '[hpcvirtualizationnode03]:2222,[10.0.1.40]:2222' (ECDSA) to the list of known hosts.
Warning: Permanently added '[hpcvirtualizationnode04]:2222,[10.0.1.42]:2222' (ECDSA) to the list of known hosts.
Kind (np=16)	n	time (sec)	Rate (MB/sec)
Send/Recv	2^0	0.000062	0.128416
Send/Recv	2^1	0.000079	0.202638
Send/Recv	2^2	0.000080	0.402072
Send/Recv	2^3	0.000080	0.803306
Send/Recv	2^4	0.000080	1.609950
Send/Recv	2^5	0.000079	3.226314
Send/Recv	2^6	0.000079	6.478211
Send/Recv	2^7	0.000086	11.972297
Send/Recv	2^8	0.000145	14.079651
Send/Recv	2^9	0.000157	26.114456
Send/Recv	2^10	0.000231	35.425478
Send/Recv	2^11	0.000320	51.160348
Send/Recv	2^12	0.000828	39.565752
Send/Recv	2^13	0.002316	28.296758
Send/Recv	2^14	0.004258	30.780427
Send/Recv	2^15	0.008646	30.319726
Send/Recv	2^16	0.017673	29.665898
Send/Recv	2^17	0.036804	28.490439
Send/Recv	2^18	0.074098	28.302522
Send/Recv	2^19	0.147865	28.365696
Send/Recv	2^20	0.297117	28.233320
Send/Recv	2^21	0.595090	28.192728
Send/Recv	2^22	1.190204	28.192176
Warning: Permanently added '[hpcvirtualizationnode02]:2222,[10.0.1.38]:2222' (ECDSA) to the list of known hosts.
Warning: Permanently added '[hpcvirtualizationnode03]:2222,[10.0.1.40]:2222' (ECDSA) to the list of known hosts.
Warning: Permanently added '[hpcvirtualizationnode04]:2222,[10.0.1.42]:2222' (ECDSA) to the list of known hosts.
Kind (np=16)	n	time (sec)	Rate (MB/sec)
Send/Recv	2^0	0.000079	0.101260
Send/Recv	2^1	0.000062	0.257610
Send/Recv	2^2	0.000080	0.402114
Send/Recv	2^3	0.000080	0.803771
Send/Recv	2^4	0.000080	1.609293
Send/Recv	2^5	0.000079	3.223240
Send/Recv	2^6	0.000079	6.471949
Send/Recv	2^7	0.000082	12.491211
Send/Recv	2^8	0.000121	16.980350
Send/Recv	2^9	0.000154	26.623686
Send/Recv	2^10	0.000234	34.966565
Send/Recv	2^11	0.000515	31.802692
Send/Recv	2^12	0.000861	38.076138
Send/Recv	2^13	0.002259	29.014490
Send/Recv	2^14	0.003916	33.467940
Send/Recv	2^15	0.008596	30.496408
Send/Recv	2^16	0.017742	29.551092
Send/Recv	2^17	0.036952	28.376741
Send/Recv	2^18	0.074026	28.329765
Send/Recv	2^19	0.148708	28.204999
Send/Recv	2^20	0.297488	28.198176
Send/Recv	2^21	0.595222	28.186481
Send/Recv	2^22	1.190294	28.190026
Warning: Permanently added '[hpcvirtualizationnode02]:2222,[10.0.1.38]:2222' (ECDSA) to the list of known hosts.
Warning: Permanently added '[hpcvirtualizationnode03]:2222,[10.0.1.40]:2222' (ECDSA) to the list of known hosts.
Warning: Permanently added '[hpcvirtualizationnode04]:2222,[10.0.1.42]:2222' (ECDSA) to the list of known hosts.
Kind (np=16)	n	time (sec)	Rate (MB/sec)
Send/Recv	2^0	0.000070	0.114119
Send/Recv	2^1	0.000080	0.201255
Send/Recv	2^2	0.000080	0.402105
Send/Recv	2^3	0.000080	0.804153
Send/Recv	2^4	0.000080	1.608809
Send/Recv	2^5	0.000079	3.226237
Send/Recv	2^6	0.000079	6.475641
Send/Recv	2^7	0.000086	11.868896
Send/Recv	2^8	0.000121	16.867305
Send/Recv	2^9	0.000161	25.468036
Send/Recv	2^10	0.000257	31.853420
Send/Recv	2^11	0.000365	44.862540
Send/Recv	2^12	0.000651	50.307282
Send/Recv	2^13	0.002409	27.208281
Send/Recv	2^14	0.004298	30.493820
Send/Recv	2^15	0.008314	31.532196
Send/Recv	2^16	0.018290	28.664829
Send/Recv	2^17	0.036082	29.060651
Send/Recv	2^18	0.074116	28.295501
Send/Recv	2^19	0.148588	28.227662
Send/Recv	2^20	0.297371	28.209221
Send/Recv	2^21	0.595117	28.191462
Send/Recv	2^22	1.190350	28.188706
Warning: Permanently added '[hpcvirtualizationnode02]:2222,[10.0.1.38]:2222' (ECDSA) to the list of known hosts.
Warning: Permanently added '[hpcvirtualizationnode03]:2222,[10.0.1.40]:2222' (ECDSA) to the list of known hosts.
Warning: Permanently added '[hpcvirtualizationnode04]:2222,[10.0.1.42]:2222' (ECDSA) to the list of known hosts.
Kind (np=16)	n	time (sec)	Rate (MB/sec)
Send/Recv	2^0	0.000078	0.102934
Send/Recv	2^1	0.000063	0.254656
Send/Recv	2^2	0.000080	0.401891
Send/Recv	2^3	0.000080	0.803994
Send/Recv	2^4	0.000080	1.608322
Send/Recv	2^5	0.000079	3.221702
Send/Recv	2^6	0.000079	6.463923
Send/Recv	2^7	0.000083	12.378533
Send/Recv	2^8	0.000148	13.854408
Send/Recv	2^9	0.000178	22.967042
Send/Recv	2^10	0.000232	35.267780
Send/Recv	2^11	0.000441	37.168869
Send/Recv	2^12	0.000727	45.089743
Send/Recv	2^13	0.002307	28.402328
Send/Recv	2^14	0.004132	31.719054
Send/Recv	2^15	0.008464	30.970117
Send/Recv	2^16	0.017674	29.664648
Send/Recv	2^17	0.036620	28.633856
Send/Recv	2^18	0.073157	28.666555
Send/Recv	2^19	0.148482	28.247891
Send/Recv	2^20	0.297591	28.188345
Send/Recv	2^21	0.594746	28.209063
Send/Recv	2^22	1.190303	28.189818
Warning: Permanently added '[hpcvirtualizationnode02]:2222,[10.0.1.38]:2222' (ECDSA) to the list of known hosts.
Warning: Permanently added '[hpcvirtualizationnode03]:2222,[10.0.1.40]:2222' (ECDSA) to the list of known hosts.
Warning: Permanently added '[hpcvirtualizationnode04]:2222,[10.0.1.42]:2222' (ECDSA) to the list of known hosts.
Kind (np=16)	n	time (sec)	Rate (MB/sec)
Send/Recv	2^0	0.000079	0.101305
Send/Recv	2^1	0.000079	0.202633
Send/Recv	2^2	0.000080	0.401876
Send/Recv	2^3	0.000079	0.805773
Send/Recv	2^4	0.000080	1.604583
Send/Recv	2^5	0.000081	3.171507
Send/Recv	2^6	0.000079	6.463847
Send/Recv	2^7	0.000079	12.929503
Send/Recv	2^8	0.000107	19.141350
Send/Recv	2^9	0.000157	26.029238
Send/Recv	2^10	0.000251	32.591936
Send/Recv	2^11	0.000440	37.224562
Send/Recv	2^12	0.000701	46.715594
Send/Recv	2^13	0.002359	27.776683
Send/Recv	2^14	0.004219	31.067906
Send/Recv	2^15	0.008321	31.503251
Send/Recv	2^16	0.018207	28.796045
Send/Recv	2^17	0.035822	29.271729
Send/Recv	2^18	0.074158	28.279434
Send/Recv	2^19	0.148512	28.242153
Send/Recv	2^20	0.297485	28.198445
Send/Recv	2^21	0.595002	28.196918
Send/Recv	2^22	1.190103	28.194564
Warning: Permanently added '[hpcvirtualizationnode04]:2222,[10.0.1.42]:2222' (ECDSA) to the list of known hosts.
Warning: Permanently added '[hpcvirtualizationnode02]:2222,[10.0.1.38]:2222' (ECDSA) to the list of known hosts.
Warning: Permanently added '[hpcvirtualizationnode03]:2222,[10.0.1.40]:2222' (ECDSA) to the list of known hosts.
Kind (np=16)	n	time (sec)	Rate (MB/sec)
Send/Recv	2^0	0.000063	0.126506
Send/Recv	2^1	0.000070	0.229357
Send/Recv	2^2	0.000080	0.402060
Send/Recv	2^3	0.000079	0.805628
Send/Recv	2^4	0.000080	1.599697
Send/Recv	2^5	0.000080	3.215025
Send/Recv	2^6	0.000080	6.419244
Send/Recv	2^7	0.000082	12.477121
Send/Recv	2^8	0.000113	18.185936
Send/Recv	2^9	0.000153	26.805405
Send/Recv	2^10	0.000251	32.651043
Send/Recv	2^11	0.000514	31.859401
Send/Recv	2^12	0.000737	44.485715
Send/Recv	2^13	0.002243	29.217243
Send/Recv	2^14	0.004230	30.984443
Send/Recv	2^15	0.008595	30.498567
Send/Recv	2^16	0.017664	29.681593
Send/Recv	2^17	0.036951	28.377171
Send/Recv	2^18	0.073686	28.460736
Send/Recv	2^19	0.147973	28.345038
Send/Recv	2^20	0.297446	28.202081
Send/Recv	2^21	0.594948	28.199452
Send/Recv	2^22	1.190258	28.190891
NetBenchWithContention_O3_native_32
Warning: Permanently added '[hpcvirtualizationnode05]:2222,[10.0.1.44]:2222' (ECDSA) to the list of known hosts.
Warning: Permanently added '[hpcvirtualizationnode04]:2222,[10.0.1.42]:2222' (ECDSA) to the list of known hosts.
Warning: Permanently added '[hpcvirtualizationnode06]:2222,[10.0.1.46]:2222' (ECDSA) to the list of known hosts.
Warning: Permanently added '[hpcvirtualizationnode02]:2222,[10.0.1.38]:2222' (ECDSA) to the list of known hosts.
Warning: Permanently added '[hpcvirtualizationnode07]:2222,[10.0.1.48]:2222' (ECDSA) to the list of known hosts.
Warning: Permanently added '[hpcvirtualizationnode03]:2222,[10.0.1.40]:2222' (ECDSA) to the list of known hosts.
Warning: Permanently added '[hpcvirtualizationnode08]:2222,[10.0.1.50]:2222' (ECDSA) to the list of known hosts.
Kind (np=32)	n	time (sec)	Rate (MB/sec)
Send/Recv	2^0	0.000070	0.114097
Send/Recv	2^1	0.000062	0.256494
Send/Recv	2^2	0.000080	0.401999
Send/Recv	2^3	0.000080	0.804084
Send/Recv	2^4	0.000080	1.609233
Send/Recv	2^5	0.000079	3.223001
Send/Recv	2^6	0.000079	6.453803
Send/Recv	2^7	0.000086	11.954646
Send/Recv	2^8	0.000125	16.401495
Send/Recv	2^9	0.000159	25.761329
Send/Recv	2^10	0.000256	32.033661
Send/Recv	2^11	0.000464	35.307945
Send/Recv	2^12	0.000834	39.278983
Send/Recv	2^13	0.002255	29.064042
Send/Recv	2^14	0.004031	32.518804
Send/Recv	2^15	0.008697	30.143046
Send/Recv	2^16	0.018195	28.814178
Send/Recv	2^17	0.036418	28.792827
Send/Recv	2^18	0.074032	28.327488
Send/Recv	2^19	0.148670	28.212200
Send/Recv	2^20	0.297405	28.206002
Send/Recv	2^21	0.595154	28.189712
Send/Recv	2^22	1.190357	28.188544
Warning: Permanently added '[hpcvirtualizationnode05]:2222,[10.0.1.44]:2222' (ECDSA) to the list of known hosts.
Warning: Permanently added '[hpcvirtualizationnode07]:2222,[10.0.1.48]:2222' (ECDSA) to the list of known hosts.
Warning: Permanently added '[hpcvirtualizationnode08]:2222,[10.0.1.50]:2222' (ECDSA) to the list of known hosts.
Warning: Permanently added '[hpcvirtualizationnode03]:2222,[10.0.1.40]:2222' (ECDSA) to the list of known hosts.
Warning: Permanently added '[hpcvirtualizationnode06]:2222,[10.0.1.46]:2222' (ECDSA) to the list of known hosts.
Warning: Permanently added '[hpcvirtualizationnode02]:2222,[10.0.1.38]:2222' (ECDSA) to the list of known hosts.
Warning: Permanently added '[hpcvirtualizationnode04]:2222,[10.0.1.42]:2222' (ECDSA) to the list of known hosts.
Kind (np=32)	n	time (sec)	Rate (MB/sec)
Send/Recv	2^0	0.000079	0.101252
Send/Recv	2^1	0.000074	0.215188
Send/Recv	2^2	0.000080	0.402088
Send/Recv	2^3	0.000079	0.805095
Send/Recv	2^4	0.000080	1.608500
Send/Recv	2^5	0.000079	3.220437
Send/Recv	2^6	0.000079	6.467670
Send/Recv	2^7	0.000085	12.012355
Send/Recv	2^8	0.000123	16.682688
Send/Recv	2^9	0.000176	23.239516
Send/Recv	2^10	0.000255	32.154487
Send/Recv	2^11	0.000369	44.411612
Send/Recv	2^12	0.001013	32.356042
Send/Recv	2^13	0.002368	27.670569
Send/Recv	2^14	0.004431	29.577945
Send/Recv	2^15	0.008298	31.591537
Send/Recv	2^16	0.017969	29.178034
Send/Recv	2^17	0.037120	28.248312
Send/Recv	2^18	0.074028	28.329137
Send/Recv	2^19	0.148267	28.288847
Send/Recv	2^20	0.297500	28.196983
Send/Recv	2^21	0.595035	28.195357
Send/Recv	2^22	1.190181	28.192718
Warning: Permanently added '[hpcvirtualizationnode06]:2222,[10.0.1.46]:2222' (ECDSA) to the list of known hosts.
Warning: Permanently added '[hpcvirtualizationnode03]:2222,[10.0.1.40]:2222' (ECDSA) to the list of known hosts.
Warning: Permanently added '[hpcvirtualizationnode08]:2222,[10.0.1.50]:2222' (ECDSA) to the list of known hosts.
Warning: Permanently added '[hpcvirtualizationnode04]:2222,[10.0.1.42]:2222' (ECDSA) to the list of known hosts.
Warning: Permanently added '[hpcvirtualizationnode05]:2222,[10.0.1.44]:2222' (ECDSA) to the list of known hosts.
Warning: Permanently added '[hpcvirtualizationnode02]:2222,[10.0.1.38]:2222' (ECDSA) to the list of known hosts.
Warning: Permanently added '[hpcvirtualizationnode07]:2222,[10.0.1.48]:2222' (ECDSA) to the list of known hosts.
Kind (np=32)	n	time (sec)	Rate (MB/sec)
Send/Recv	2^0	0.000079	0.101324
Send/Recv	2^1	0.000074	0.216747
Send/Recv	2^2	0.000080	0.402051
Send/Recv	2^3	0.000080	0.803794
Send/Recv	2^4	0.000080	1.600099
Send/Recv	2^5	0.000079	3.221821
Send/Recv	2^6	0.000079	6.463716
Send/Recv	2^7	0.000086	11.917905
Send/Recv	2^8	0.000117	17.484673
Send/Recv	2^9	0.000152	27.007863
Send/Recv	2^10	0.000254	32.268738
Send/Recv	2^11	0.000461	35.567366
Send/Recv	2^12	0.000992	33.024168
Send/Recv	2^13	0.002377	27.576265
Send/Recv	2^14	0.004019	32.609067
Send/Recv	2^15	0.008868	29.560218
Send/Recv	2^16	0.018357	28.560718
Send/Recv	2^17	0.036909	28.410072
Send/Recv	2^18	0.074054	28.319396
Send/Recv	2^19	0.148341	28.274774
Send/Recv	2^20	0.297364	28.209896
Send/Recv	2^21	0.595098	28.192367
Send/Recv	2^22	1.190276	28.190464
Warning: Permanently added '[hpcvirtualizationnode07]:2222,[10.0.1.48]:2222' (ECDSA) to the list of known hosts.
Warning: Permanently added '[hpcvirtualizationnode03]:2222,[10.0.1.40]:2222' (ECDSA) to the list of known hosts.
Warning: Permanently added '[hpcvirtualizationnode08]:2222,[10.0.1.50]:2222' (ECDSA) to the list of known hosts.
Warning: Permanently added '[hpcvirtualizationnode04]:2222,[10.0.1.42]:2222' (ECDSA) to the list of known hosts.
Warning: Permanently added '[hpcvirtualizationnode06]:2222,[10.0.1.46]:2222' (ECDSA) to the list of known hosts.
