nohup: zignorowane dane wejściowe
NetBenchWithContention_O3_native_4b
No protocol specified
No protocol specified
Kind (np=4)	n	time (sec)	Rate (MB/sec)
Kind (np=4)	n	time (sec)	Rate (MB/sec)
Send/Recv	2^0	0.000053	0.151015
Send/Recv	2^1	0.000053	0.302063
Send/Recv	2^2	0.000053	0.604424
Send/Recv	2^3	0.000053	1.209950
Send/Recv	2^4	0.000053	2.422121
Send/Recv	2^5	0.000053	4.819453
Send/Recv	2^6	0.000054	9.507174
Send/Recv	2^7	0.000075	13.655323
Send/Recv	2^8	0.000087	23.479956
Send/Recv	2^9	0.000104	39.254396
Send/Recv	2^10	0.000173	47.232472
Send/Recv	2^11	0.000299	54.876006
Send/Recv	2^12	0.000439	74.652317
Send/Recv	2^13	0.001536	42.663736
Send/Recv	2^14	0.002715	48.282004
Send/Recv	2^15	0.005191	50.495908
Send/Recv	2^16	0.010458	50.134109
Send/Recv	2^17	0.021279	49.278182
Send/Recv	2^18	0.042503	49.341161
Send/Recv	2^19	0.085445	49.087565
Send/Recv	2^20	0.172974	48.496367
Send/Recv	2^21	0.345396	48.573871
Send/Recv	2^22	0.692928	48.424152
No protocol specified
No protocol specified
Kind (np=4)	n	time (sec)	Rate (MB/sec)
Send/Recv	2^0	0.000053	0.151086
Send/Recv	2^1	0.000053	0.302320
Send/Recv	2^2	0.000053	0.604881
Send/Recv	2^3	0.000053	1.210578
Send/Recv	2^4	0.000056	2.303236
Send/Recv	2^5	0.000059	4.367281
Send/Recv	2^6	0.000065	7.929473
Send/Recv	2^7	0.000080	12.839757
Send/Recv	2^8	0.000097	21.025399
Send/Recv	2^9	0.000106	38.616554
Send/Recv	2^10	0.000199	41.190875
Send/Recv	2^11	0.000424	38.675898
Send/Recv	2^12	0.000690	47.523225
Send/Recv	2^13	0.001237	52.979212
Send/Recv	2^14	0.002912	45.017358
Send/Recv	2^15	0.005414	48.415347
Send/Recv	2^16	0.010244	51.181714
Send/Recv	2^17	0.019703	53.219801
Send/Recv	2^18	0.042124	49.785391
Send/Recv	2^19	0.086154	48.683773
Send/Recv	2^20	0.171075	49.034675
Send/Recv	2^21	0.345095	48.616258
Send/Recv	2^22	0.691105	48.551870
No protocol specified
No protocol specified
Kind (np=4)	n	time (sec)	Rate (MB/sec)
Send/Recv	2^0	0.000053	0.151090
Send/Recv	2^1	0.000053	0.302262
Send/Recv	2^2	0.000053	0.604798
Send/Recv	2^3	0.000053	1.210248
Send/Recv	2^4	0.000053	2.424396
Send/Recv	2^5	0.000053	4.822059
Send/Recv	2^6	0.000052	9.826746
Send/Recv	2^7	0.000075	13.655258
Send/Recv	2^8	0.000098	20.918130
Send/Recv	2^9	0.000105	39.136251
Send/Recv	2^10	0.000173	47.325382
Send/Recv	2^11	0.000253	64.881990
Send/Recv	2^12	0.000485	67.586646
Send/Recv	2^13	0.001556	42.112731
Send/Recv	2^14	0.002674	49.014527
Send/Recv	2^15	0.005044	51.974687
Send/Recv	2^16	0.010801	48.538792
Send/Recv	2^17	0.019983	52.473219
Send/Recv	2^18	0.041809	50.160467
Send/Recv	2^19	0.084843	49.436242
Send/Recv	2^20	0.171248	48.985071
Send/Recv	2^21	0.343447	48.849511
Send/Recv	2^22	0.690239	48.612800
No protocol specified
No protocol specified
Kind (np=4)	n	time (sec)	Rate (MB/sec)
Send/Recv	2^0	0.000053	0.150437
Send/Recv	2^1	0.000053	0.300946
Send/Recv	2^2	0.000053	0.602094
Send/Recv	2^3	0.000053	1.205153
Send/Recv	2^4	0.000053	2.412688
Send/Recv	2^5	0.000061	4.222234
Send/Recv	2^6	0.000069	7.451337
Send/Recv	2^7	0.000079	12.917375
Send/Recv	2^8	0.000095	21.596048
Send/Recv	2^9	0.000137	29.849006
Send/Recv	2^10	0.000201	40.827006
Send/Recv	2^11	0.000251	65.170135
Send/Recv	2^12	0.000579	56.571997
Send/Recv	2^13	0.001494	43.876630
Send/Recv	2^14	0.002482	52.802409
Send/Recv	2^15	0.005388	48.653245
Send/Recv	2^16	0.010075	52.040694
Send/Recv	2^17	0.021216	49.424181
Send/Recv	2^18	0.042763	49.041285
Send/Recv	2^19	0.086456	48.513985
Send/Recv	2^20	0.172897	48.518052
Send/Recv	2^21	0.342730	48.951665
Send/Recv	2^22	0.688202	48.756660
NetBenchWithContention_O3_4b
No protocol specified
No protocol specified
Kind (np=4)	n	time (sec)	Rate (MB/sec)
Send/Recv	2^0	0.000053	0.150435
Send/Recv	2^1	0.000053	0.301006
Send/Recv	2^2	0.000053	0.602140
Send/Recv	2^3	0.000053	1.205149
Send/Recv	2^4	0.000053	2.412999
Send/Recv	2^5	0.000059	4.348046
Send/Recv	2^6	0.000067	7.652791
Send/Recv	2^7	0.000080	12.796412
Send/Recv	2^8	0.000088	23.264928
Send/Recv	2^9	0.000106	38.566015
Send/Recv	2^10	0.000201	40.803417
Send/Recv	2^11	0.000273	60.006849
Send/Recv	2^12	0.000447	73.360647
Send/Recv	2^13	0.001487	44.085971
Send/Recv	2^14	0.002832	46.276219
Send/Recv	2^15	0.005168	50.727177
Send/Recv	2^16	0.010769	48.682684
Send/Recv	2^17	0.021629	48.480143
Send/Recv	2^18	0.042598	49.231311
Send/Recv	2^19	0.086628	48.417240
Send/Recv	2^20	0.172964	48.499233
Send/Recv	2^21	0.343546	48.835416
Send/Recv	2^22	0.688678	48.722935
No protocol specified
No protocol specified
Kind (np=4)	n	time (sec)	Rate (MB/sec)
Send/Recv	2^0	0.000053	0.150412
Send/Recv	2^1	0.000053	0.301068
Send/Recv	2^2	0.000053	0.602353
Send/Recv	2^3	0.000053	1.205508
Send/Recv	2^4	0.000053	2.412728
Send/Recv	2^5	0.000058	4.415472
Send/Recv	2^6	0.000063	8.128137
Send/Recv	2^7	0.000079	12.929643
Send/Recv	2^8	0.000099	20.663179
Send/Recv	2^9	0.000134	30.583255
Send/Recv	2^10	0.000200	40.931246
Send/Recv	2^11	0.000253	64.665473
Send/Recv	2^12	0.000502	65.307034
Send/Recv	2^13	0.001603	40.875694
Send/Recv	2^14	0.002919	44.907903
Send/Recv	2^15	0.005382	48.705096
Send/Recv	2^16	0.010047	52.182930
Send/Recv	2^17	0.019771	53.034825
Send/Recv	2^18	0.043396	48.326366
Send/Recv	2^19	0.084930	49.385263
Send/Recv	2^20	0.172493	48.631512
Send/Recv	2^21	0.345401	48.573131
Send/Recv	2^22	0.690090	48.623234
No protocol specified
No protocol specified
Kind (np=4)	n	time (sec)	Rate (MB/sec)
Send/Recv	2^0	0.000053	0.150422
Send/Recv	2^1	0.000053	0.301005
Send/Recv	2^2	0.000053	0.602266
Send/Recv	2^3	0.000053	1.204940
Send/Recv	2^4	0.000053	2.412632
Send/Recv	2^5	0.000062	4.118279
Send/Recv	2^6	0.000069	7.459773
Send/Recv	2^7	0.000079	12.923780
Send/Recv	2^8	0.000088	23.288341
Send/Recv	2^9	0.000136	30.166224
Send/Recv	2^10	0.000201	40.717932
Send/Recv	2^11	0.000282	58.078181
Send/Recv	2^12	0.000440	74.407790
Send/Recv	2^13	0.001566	41.837182
Send/Recv	2^14	0.002714	48.297936
