NetBenchWithContention_O3_native_2b
2^0	0.000053	0.152085
2^1	0.000053	0.304146
2^2	0.000053	0.605945
2^3	0.000053	1.209365
2^4	0.000053	2.419976
2^5	0.000053	4.842643
2^6	0.000053	9.704978
2^7	0.000061	16.916812
2^8	0.000094	21.852909
2^9	0.000107	38.365172
2^10	0.000178	46.031911
2^11	0.000239	68.583293
2^12	0.000474	69.100771
2^13	0.000857	76.458966
2^14	0.001628	80.515607
2^15	0.002975	88.123806
2^16	0.005618	93.320673
2^17	0.010964	95.641682
2^18	0.021746	96.439628
2^19	0.043313	96.837680
2^20	0.086610	96.854951
2^21	0.172861	97.056387
2^22	0.345599	97.090773
2^0	0.000053	0.152091
2^1	0.000053	0.304157
2^2	0.000053	0.605999
2^3	0.000053	1.209231
2^4	0.000053	2.419580
2^5	0.000053	4.843654
2^6	0.000053	9.704297
2^7	0.000060	16.930417
2^8	0.000102	20.082139
2^9	0.000107	38.446376
2^10	0.000178	46.069577
2^11	0.000239	68.566215
2^12	0.000441	74.340013
2^13	0.000858	76.355320
2^14	0.001621	80.877464
2^15	0.003027	86.588343
2^16	0.005650	92.792292
2^17	0.010945	95.800352
2^18	0.021751	96.416949
2^19	0.043351	96.752369
2^20	0.086610	96.854725
2^21	0.172823	97.077342
2^22	0.345760	97.045536
2^0	0.000053	0.152005
2^1	0.000053	0.304032
2^2	0.000053	0.605376
2^3	0.000053	1.208996
2^4	0.000053	2.419529
2^5	0.000053	4.842912
2^6	0.000053	9.698996
2^7	0.000064	16.066471
2^8	0.000097	21.189751
2^9	0.000107	38.382788
2^10	0.000177	46.267717
2^11	0.000216	75.982535
2^12	0.000441	74.256371
2^13	0.001011	64.804487
2^14	0.001627	80.563289
2^15	0.002859	91.684291
2^16	0.005685	92.227967
2^17	0.010999	95.332020
2^18	0.021833	96.054122
2^19	0.043487	96.449827
2^20	0.086797	96.646780
2^21	0.172992	96.982639
2^22	0.345542	97.106677
2^0	0.000053	0.152092
2^1	0.000053	0.304135
2^2	0.000053	0.605917
2^3	0.000053	1.209305
2^4	0.000053	2.420092
2^5	0.000053	4.844680
2^6	0.000053	9.704456
2^7	0.000060	16.936097
2^8	0.000085	24.227464
2^9	0.000105	38.854476
2^10	0.000178	46.143144
2^11	0.000240	68.399904
2^12	0.000444	73.811194
2^13	0.001040	62.989916
2^14	0.001645	79.692519
2^15	0.003018	86.866058
2^16	0.005590	93.795760
2^17	0.011117	94.320203
2^18	0.021775	96.312139
2^19	0.043318	96.826752
2^20	0.086617	96.847100
2^21	0.172994	96.981683
2^22	0.345494	97.120160
2^0	0.000053	0.152092
