NetBenchWithContention_O3_native_2b
2^0	0.000053	0.151102
2^1	0.000053	0.302283
2^2	0.000053	0.604653
2^3	0.000053	1.209428
2^4	0.000053	2.419043
2^5	0.000054	4.725002
2^6	0.000059	8.725448
2^7	0.000068	14.968290
2^8	0.000104	19.758487
2^9	0.000114	35.838022
2^10	0.000184	44.628952
2^11	0.000221	73.982590
2^12	0.000378	86.757375
2^13	0.000767	85.421755
2^14	0.001337	98.002739
2^15	0.002521	103.981351
2^16	0.004849	108.133850
2^17	0.009488	110.512334
2^18	0.018776	111.690780
2^19	0.037390	112.178145
2^20	0.074594	112.456393
2^21	0.148983	112.611311
2^22	0.297739	112.697389
2^0	0.000053	0.151090
2^1	0.000053	0.302273
2^2	0.000053	0.604678
2^3	0.000053	1.209298
2^4	0.000053	2.418352
2^5	0.000054	4.719667
2^6	0.000059	8.729376
2^7	0.000068	14.960669
2^8	0.000100	20.493216
2^9	0.000114	35.877892
2^10	0.000183	44.665806
2^11	0.000222	73.703515
2^12	0.000379	86.415895
2^13	0.000768	85.342056
2^14	0.001337	98.006919
2^15	0.002527	103.739435
2^16	0.004848	108.142916
2^17	0.009491	110.483188
2^18	0.018788	111.619361
2^19	0.037384	112.195707
2^20	0.074585	112.470729
2^21	0.149003	112.596136
2^22	0.297752	112.692530
2^0	0.000053	0.151087
2^1	0.000053	0.302288
2^2	0.000053	0.604527
2^3	0.000053	1.209386
2^4	0.000053	2.417985
2^5	0.000054	4.718835
2^6	0.000059	8.747118
2^7	0.000068	14.981665
2^8	0.000105	19.548419
2^9	0.000114	35.856849
2^10	0.000184	44.595309
2^11	0.000222	73.801801
2^12	0.000390	84.067288
2^13	0.000767	85.440911
2^14	0.001329	98.647801
2^15	0.002521	104.001048
2^16	0.004848	108.140853
2^17	0.009490	110.498097
2^18	0.018802	111.540659
2^19	0.037589	111.583974
2^20	0.074830	112.102502
2^21	0.148966	112.624171
2^22	0.297744	112.695681
2^0	0.000053	0.151123
2^1	0.000053	0.302249
2^2	0.000053	0.604597
2^3	0.000053	1.209464
2^4	0.000053	2.417929
2^5	0.000054	4.723930
2^6	0.000059	8.744912
2^7	0.000068	14.982307
2^8	0.000098	20.800677
2^9	0.000114	35.875386
