NetBenchWithContentionMpiSsend_O3_native_2b
2^0	0.000093	0.085690
2^1	0.000095	0.168199
2^2	0.000094	0.339914
2^3	0.000089	0.715572
2^4	0.000095	1.347567
2^5	0.000097	2.629674
2^6	0.000096	5.308846
2^7	0.000096	10.686298
2^8	0.000098	20.844180
2^9	0.000097	42.103517
2^10	0.000153	53.394682
2^11	0.000232	70.474879
2^12	0.000368	89.137814
2^13	0.000760	86.271194
2^14	0.001336	98.091080
2^15	0.002526	103.777133
2^16	0.004846	108.185660
2^17	0.009486	110.535756
2^18	0.018775	111.699243
2^19	0.037386	112.188032
2^20	0.074575	112.485965
2^21	0.148969	112.622302
2^22	0.297751	112.692772
2^0	0.000093	0.085765
2^1	0.000089	0.180015
2^2	0.000083	0.384281
2^3	0.000090	0.710439
2^4	0.000096	1.329903
2^5	0.000097	2.630272
2^6	0.000097	5.305637
2^7	0.000091	11.272541
2^8	0.000097	21.050071
2^9	0.000097	42.160300
2^10	0.000153	53.474677
2^11	0.000233	70.337971
2^12	0.000361	90.694958
2^13	0.000767	85.472005
2^14	0.001335	98.175578
2^15	0.002527	103.747276
2^16	0.004848	108.142081
2^17	0.009490	110.490500
2^18	0.018776	111.692755
2^19	0.037393	112.166828
2^20	0.074586	112.469066
2^21	0.148991	112.605360
2^22	0.297739	112.697603
2^0	0.000092	0.087349
2^1	0.000094	0.169751
2^2	0.000090	0.356886
2^3	0.000095	0.670795
2^4	0.000096	1.339820
2^5	0.000099	2.591923
2^6	0.000097	5.302824
2^7	0.000096	10.637098
2^8	0.000098	20.869386
2^9	0.000101	40.649024
2^10	0.000154	53.164941
2^11	0.000233	70.275822
2^12	0.000361	90.739180
2^13	0.000757	86.567884
2^14	0.001324	98.979450
2^15	0.002527	103.734364
2^16	0.004849	108.132378
2^17	0.009486	110.535016
2^18	0.018776	111.696179
2^19	0.037399	112.149128
2^20	0.074592	112.460008
2^21	0.149004	112.595744
2^22	0.297738	112.697714
2^0	0.000094	0.085337
2^1	0.000095	0.168769
2^2	0.000096	0.332617
2^3	0.000093	0.691734
2^4	0.000092	1.389500
2^5	0.000097	2.633141
2^6	0.000097	5.298668
2^7	0.000096	10.651094
2^8	0.000097	21.041888
2^9	0.000100	41.092533
2^10	0.000154	53.341660
2^11	0.000233	70.199651
2^12	0.000362	90.587399
2^13	0.000757	86.610670
2^14	0.001336	98.137425
2^15	0.002526	103.786606
2^16	0.004849	108.133148
2^17	0.009487	110.529161
2^18	0.018775	111.697848
2^19	0.037396	112.159689
2^20	0.074586	112.468880
2^21	0.148972	112.619986
2^22	0.297756	112.690944
2^0	0.000094	0.085211
2^1	0.000091	0.176172
2^2	0.000095	0.336015
2^3	0.000083	0.775050
2^4	0.000096	1.336209
2^5	0.000097	2.632982
2^6	0.000097	5.290278
2^7	0.000096	10.634266
2^8	0.000098	20.861095
